station_id,temperature,pH,salinity,DO,ORP,turbidity,chlorophyll,NH3,NO2,NO3,PO4,SiO3,has_valid_eem,eem_filename,included_main_analysis,exclusion_reason,missing_fields
S01,29.85,9.43,22.1,6.44,-52,10.4256827586207,24.0251483870968,7.8342,5.672,8.5075,11.2253,105.4332,True,站点文件__S01__S01-final.csv,True,,
S02,29.9,8.15,27.68,6.51,-45,7.29796896551724,20.4213806451613,3.2962,1.6739,2.6297,13.4465,52.2881,True,站点文件__S02__S02-LONG.csv,True,,
S03,30.19,8.8,22.8,11.28,-71,3.47797083333333,99.957735,19.8658,17.6925,13.9881,19.4991,253.0251,True,站点文件__S03__S03-2.csv,True,,
S04,29.16,8.31,11.2,5.44,-44,0.813224242424243,3.62585384615385,14.3987,12.1626,1351.5249,216.5689,1244.843,True,站点文件__S04__S04-LONG.csv,True,,
S05,26.26,8.4,22.2,6.87,-49,3.67978928571429,4.43015,12.5605,36.7848,25.3746,15.8956,328.7599,True,站点文件__S05__S05-1.csv,True,,
S06,26.86,8.52,20.2,6.54,-54,20.0381285714286,8.97778333333333,320.5053,41.7258,78.5049,58.4333,480.7201,True,站点文件__S06__S06-1.csv,True,,
S07,28.09,8.5,4.93,7.47,-54,8.82351111111111,16.7150777777778,42.2978,19.2888,6.036,16.9866,890.4763,True,站点文件__S07__S07-1.csv,True,,
S08,27.51,8.5,20.7,6.67,-54,10.4921714285714,7.9836,209.6172,26.5693,62.1166,24.0361,440.7121,True,站点文件__S08__S08-1.csv,True,,
S09,27.35,8.4,20.4,7.9,-53,3.1931,2.54056666666667,1303.3938,237.3034,235.3053,233.0824,195.8514,True,站点文件__S09__S09-1.csv,True,,
S10,29.41,8.6,6.5,7.1,-55,1.99744545454545,9.16958,1093.2467,122.8453,10.0888,493.0591,2373.2988,True,站点文件__S10__S10-1.csv,True,,
S11,25.51,8.24,16.8,6.56,-39,2.3158375,6.10548461538461,389.608,618.0967,798.7947,12.7877,3411.7876,True,站点文件__S11__S11-1.csv,True,,
S12,30.68,8.52,14.6,7.8,-57,1.0113625,3.49926363636364,27.4104,9.8044,55.0384,14.432,418.9366,True,站点文件__S12__S12-1.csv,True,,
S13,26.0,8.11,12.3,4.66,-32,2.3106625,5.6308,1059.989,261.8743,677.1435,721.9531,3082.9573,True,站点文件__S13__S13-1.csv,True,,
S14,28.6,8.47,3.5,5.12,-54,2.27982727272727,21.9599818181818,589.219,147.1078,408.2138,41.2221,2164.6782,True,站点文件__S14__S14-1.csv,True,,
S15,27.22,8.9,5.81,6.77,-26,1.6006375,0.71624,704.4114,8.2715,162.9972,9.9808,41.7465,True,站点文件__S15__S15-1.csv,True,,
S16,28.79,8.26,9.2,5.36,-40,1.15562857142857,3.32952,84.2753,15.6955,149.9784,27.8488,1046.0327,True,站点文件__S16__S16-1.csv,True,,
S17,26.54,8.33,9.8,6.14,-46,3.725925,2.90764444444444,616.1558,11.0569,183.4534,9.5352,308.9082,True,站点文件__S17__S17-1.csv,True,,
S18,26.62,8.1,9.7,6.32,-33,3.4232,3.38784375,361.8296,41.6008,212.926,28.8484,480.7836,True,站点文件__S18__S18-1.csv,True,,
S19,26.73,8.01,4.3,7.27,-29,6.42017272727273,102.275121428571,4.4703,1.3386,0.9127,4.6996,126.0194,True,站点文件__S19__S19-1.csv,True,,
S20,27.12,8.54,4.1,8.84,-67,16.6659363636364,22.9654636363636,6.9577,13.1992,170.3711,14.4831,1031.3145,True,站点文件__S20__S20-1.csv,True,,
S21,27.18,8.66,8.2,6.75,-65,40.9248416666667,20.3272333333333,30.9753,12.839,1284.646,23.752,3969.1399,True,站点文件__S21__S21-1.csv,True,,
S22,31.92,8.86,7.6,9.9,-76,5.38213,97.8035117647059,45.1305,4.9027,11.5814,56.6638,469.1444,True,站点文件__S22__S22-1.csv,True,,
S23,32.31,8.56,6.8,7.41,-58,1.73597777777778,8.98973,105.8722,2560.2451,2900.2578,55.8033,322.1247,True,站点文件__S23__S23-1.csv,True,,
S24,29.35,8.31,7.1,6.73,-45,2.20044545454545,2.53203,17.2229,23.2989,74.9869,23.4773,281.6134,True,站点文件__S24__S24-1.csv,True,,
S25,31.76,8.95,6.1,5.69,-37,5.0727,4.79285,624.4762,31.7595,790.42,18.2406,8.5377,True,站点文件__S25__S25-1.csv,True,,
S26,29.09,8.41,7.9,6.58,-50,6.34386,8.33764166666666,222.9099,14.1603,87.2389,32.1898,470.9261,True,站点文件__S26__S26-1.csv,True,,
S27,28.93,8.51,7.3,6.6,-55,5.62898571428571,11.6123555555556,53.8147,10.6112,28.2439,22.039,273.4253,True,站点文件__S27__S27-1.csv,True,,
S28,29.23,7.26,7.7,6.16,-6,1.29564545454545,4.7573125,608.5887,10.5799,23.1249,215.3801,227.5745,True,站点文件__S28__S28-1.csv,True,,
S29,27.63,8.24,9.5,5.95,-41,19.8235272727273,12.78125,131.6707,23.1281,120.5591,52.5582,801.631,False,,False,no station-labelled valid EEM,
S30,30.56,8.32,6.2,5.98,-47,1.2992875,1.22957,160.831,1070.6713,86.4015,25.8701,180.5413,True,站点文件__S30__S30-1.csv,True,,
