feature,environment,coefficient,standardized_coefficient,r2_descriptive
I_ex370_em580,salinity,-0.10656363884400266,-0.32814344436234316,0.10767812007798216
I_ex370_em640,salinity,-0.0227662543467437,-0.1130664573650092,0.01278402378107335
I_ex370_em680,salinity,-0.029606238333982043,-0.06141107717917097,0.003771320400306588
I_ex370_em730,salinity,-0.6931037070487481,-0.13137487577987064,0.01725935798617595
I_ex470_em580,salinity,-0.04310723956175311,-0.19881836904479833,0.039528743869633676
I_ex470_em640,salinity,-0.024842877298724097,-0.09846208940218543,0.009694783049444156
I_ex470_em680,salinity,-0.08556217048517172,-0.07454855839731271,0.005557487559117447
I_ex470_em730,salinity,-0.02571927877064002,-0.11416720440143743,0.013034150560839675
I_ex525_em580,salinity,-0.011182888148526918,-0.048272268403014795,0.002330211896772849
I_ex525_em640,salinity,0.00034833507484653757,0.0031792510337742374,1.0107637135714498e-05
I_ex525_em680,salinity,0.00925464277728529,0.022584051028081274,0.000510039360839154
I_ex525_em730,salinity,0.0032827244428202105,0.026507890088733953,0.0007026682369564163
I_ex570_em640,salinity,-0.039201348432626106,-0.24934453945421467,0.06217269935563441
I_ex570_em680,salinity,-0.07103309070035431,-0.26098345355151353,0.06811236302767498
I_ex570_em730,salinity,-0.017830903508413775,-0.1803573350654431,0.03252876831190843
I_ex590_em640,salinity,-0.06140558574701368,-0.30015526274845084,0.09009318175559144
I_ex590_em680,salinity,-0.04701604534697905,-0.1684559013970075,0.02837739071547829
I_ex590_em730,salinity,0.00892189469842978,0.0870962125239083,0.007585750236009825
I_ex600_em640,salinity,-0.07042170042301717,-0.3085867178397401,0.09522576242710346
I_ex600_em680,salinity,-0.05806370707455789,-0.2358054498384368,0.05560421017350736
I_ex600_em730,salinity,-0.012399502680753863,-0.1099257570064609,0.012083672053443961
