station_id,I_ex370_em580,I_ex370_em640,I_ex370_em680,I_ex370_em730,I_ex470_em580,I_ex470_em640,I_ex470_em680,I_ex470_em730,I_ex525_em580,I_ex525_em640,I_ex525_em680,I_ex525_em730,I_ex570_em640,I_ex570_em680,I_ex570_em730,I_ex590_em640,I_ex590_em680,I_ex590_em730,I_ex600_em640,I_ex600_em680,I_ex600_em730,shape_I_ex370_em580,shape_I_ex370_em640,shape_I_ex370_em680,shape_I_ex370_em730,shape_I_ex470_em580,shape_I_ex470_em640,shape_I_ex470_em680,shape_I_ex470_em730,shape_I_ex525_em580,shape_I_ex525_em640,shape_I_ex525_em680,shape_I_ex525_em730,shape_I_ex570_em640,shape_I_ex570_em680,shape_I_ex570_em730,shape_I_ex590_em640,shape_I_ex590_em680,shape_I_ex590_em730,shape_I_ex600_em640,shape_I_ex600_em680,shape_I_ex600_em730,ratio470_log580_680,ratio470_log640_680,ratio470_log680_680
S01,4.267,4.56,5.472,15.577,4.546,4.387,8.277,3.701,5.211,3.673,5.994,4.17,3.884,4.615,3.583,3.43,5.74,3.638,3.878,4.195,4.228,0.16299217232514598,0.17418427602593523,0.20902113123112231,0.5950150148368406,0.17364949973989072,0.16757596906267058,0.31616737997076005,0.14137193104648824,0.19905137332700626,0.14030237847439916,0.22896064703935434,0.15928693662898025,0.14836222107121325,0.17628518286396735,0.1368645309212557,0.1310201900809118,0.21925827727826058,0.1389654377592878,0.14813303123433705,0.16024189428263122,0.16150243838545048,,,0.0
S02,4.151,2.982,4.525,19.515,3.101,3.428,8.73,3.924,3.245,3.807,4.603,3.365,3.109,3.528,3.354,3.226,3.775,3.586,3.227,4.882,3.094,0.1554948309246765,0.11170454970305599,0.16950472414699141,0.7310242412659751,0.11616224300106526,0.1284115346687042,0.32702237387916794,0.14699150001166722,0.12155642648773195,0.14260872592875054,0.1724265735356025,0.12605157939328754,0.11646191986143563,0.13215749542333385,0.12563952371027826,0.12084469394435232,0.14141001848726906,0.13433015266101903,0.1208821535518986,0.18287780404101922,0.11590002574824118,,,0.0
S03,5.626,5.298,15.159,11.489,4.93,4.649,26.589,6.345,3.993,4.037,14.762,4.299,3.871,6.333,3.701,4.573,7.723,4.768,4.107,5.545,4.233,0.1356187522130347,0.12771207771501206,0.3654185326692842,0.27695055886518943,0.11884117461966957,0.11206746872349774,0.6409468543534268,0.1529507612498587,0.09625411972745246,0.09731477118450427,0.35584856384088487,0.1036304684969492,0.09331322250562696,0.15266149267066276,0.08921525096701767,0.11023543438859007,0.186168436427527,0.11493604880052424,0.09900217122981399,0.13366618930346202,0.10203949131137145,,,0.0
S04,7.553,5.305,5.086,7.003,5.918,4.393,6.07,4.449,4.192,4.054,6.912,3.316,4.599,4.033,4.62,3.673,4.433,4.572,3.763,4.493,4.063,0.32885776400484773,0.23097980114467326,0.22144453696923813,0.3049107535185951,0.2576698328320785,0.1912713037565598,0.2642879157300974,0.19370954482425096,0.1825197599243111,0.176511237293215,0.30094861178359694,0.14437870322257051,0.20024054768413807,0.1755968968928308,0.20115488808452225,0.15992249002910178,0.19301290451919634,0.1990649671693584,0.16384109174503403,0.1956253056631512,0.1769030974648082,,,0.0
S05,2.846,3.652,3.292,6.909,3.767,2.648,3.067,2.535,3.016,2.755,2.294,2.452,2.601,2.219,2.548,2.918,2.955,3.051,2.814,2.44,2.574,0.1962810989465535,0.25186878895039116,0.2270405403134413,0.4764954717574624,0.2598000350427502,0.18262556219623108,0.2115228849153477,0.17483225081852183,0.20800554969177978,0.19000506942999115,0.1582111177032304,0.16910796016055837,0.17938409640196262,0.15303856590386583,0.175728826463745,0.20124674867394346,0.2037985408949633,0.21041940719814992,0.19407414351215793,0.16828035187266005,0.17752197775419137,0.20557904351720108,,0.0
S06,5.654,5.735,5.666,59.897,6.176,5.944,6.539,4.618,6.563,3.591,3.681,3.623,3.957,3.688,3.653,4.732,3.696,2.775,4.881,3.11,2.589,0.08904908267271944,0.09032481236788928,0.08923807966459646,0.9433627352047887,0.09727045181936951,0.09361650997641392,0.10298761082364916,0.07273234237400396,0.10336560480740319,0.05655734981919623,0.05797482725827383,0.057061341797534935,0.06232175807144513,0.05808507550353542,0.05753383427722747,0.07452781379683558,0.0582110734981201,0.043705554371559326,0.07687452644597516,0.048981720394792615,0.04077610099746562,,,0.0
S07,6.838,3.446,7.17,34.149,5.331,5.738,9.79,3.705,5.234,3.822,4.697,3.353,3.557,4.354,3.396,4.614,5.388,3.079,5.252,6.082,3.497,0.16574041245583537,0.08352463605188779,0.17378747547650475,0.8277082984724075,0.12921353302165228,0.13907845666446086,0.2372914065432331,0.08980231473367506,0.12686243328368563,0.09263817730421216,0.11384655122916916,0.08127048888043521,0.08621506977265375,0.10553286865058602,0.08231272897046167,0.1118347854740018,0.13059510709447805,0.07462923807422012,0.127298719832999,0.1474163773846725,0.08476078127494242,,,0.0
S08,4.424,3.56,5.261,9.962,4.674,4.666,4.273,3.035,4.885,4.018,4.28,3.23,3.588,2.721,2.902,3.845,3.329,3.454,3.163,3.4,3.173,0.22199521115577917,0.17863990771125085,0.26399566136766595,0.49989066309535984,0.2345401484950524,0.23413871050019566,0.2144180690028581,0.15229553929877707,0.24512807560939898,0.2016222329167994,0.2147693272483578,0.1620805904234102,0.18004494069324947,0.1365390980006499,0.1456216326342837,0.19294113627802234,0.1670483856097624,0.173320854279399,0.15871854721648496,0.170611147814116,0.1592203447100559,0.08969907943470039,0.08798601691763924,0.0
S09,3.818,4.035,3.721,6.184,4.53,3.531,3.265,3.532,3.317,3.996,2.927,3.429,3.257,3.914,3.042,2.631,3.541,3.832,2.919,3.525,2.788,0.22639268828354583,0.23925995212784376,0.2206409620489979,0.3666873714891167,0.26861154476806254,0.20937469416689375,0.19360191913194794,0.20943399031364168,0.1966853187628396,0.236947402404675,0.1735598215311521,0.20332648719860624,0.19312754995796458,0.23208511837134585,0.1803788784071625,0.15600816209376875,0.20996765563437292,0.22722283433801665,0.17308545235716874,0.20901891728640626,0.16531765713319166,0.32746217668102007,0.07832135419478212,0.0
S10,6.921,4.862,4.019,12.359,5.464,3.931,5.465,3.85,4.063,3.284,3.199,3.393,3.715,3.824,4.285,3.155,3.666,3.212,4.003,3.761,3.407,0.308977920791284,0.21705687774703408,0.1794223759081304,0.5517494759513768,0.24393228712665452,0.17549374463669085,0.24397693066382994,0.17187761812547947,0.18138669154385015,0.1466093760841752,0.14281467542426202,0.15147552163629915,0.1658507406067938,0.17071688615891778,0.19129755679679988,0.14085035978854227,0.16366320728519682,0.1433950414075429,0.1787080793133232,0.1679043433168645,0.15210053115675545,,,0.0
S11,5.77,4.212,4.429,7.007,3.894,3.749,4.628,4.249,4.466,3.829,3.712,3.753,3.863,3.695,2.973,4.504,4.618,3.597,4.796,4.133,4.209,0.28825769009728164,0.21042311797049398,0.22126400510240216,0.3500557425496798,0.194536472311753,0.18729256155540883,0.23120564814041933,0.21227156416349213,0.22311245129540033,0.19128920197270216,0.18544411536241068,0.1874923935762735,0.19298777415005183,0.18459482927373583,0.1485251495076635,0.22501085549361463,0.23070606808825767,0.1796989447625515,0.23959859301673533,0.20647643555841683,0.21027324395484548,,,0.0
S12,4.771,4.731,4.356,7.932,4.549,4.955,3.673,3.508,4.139,4.024,3.841,4.055,4.38,3.763,3.29,4.079,4.967,4.177,3.67,3.867,3.961,0.235727494678639,0.23375115852539113,0.2152230070886924,0.3919074591890515,0.22475882902811337,0.2448186409835792,0.18147706727198512,0.1733246806398377,0.20450138345732277,0.19881941701673514,0.18977767911562618,0.20035107753550221,0.21640880878064112,0.18592382361679283,0.16255364860463684,0.20153687922745095,0.24541154182955352,0.20637890280290822,0.18132884206049155,0.19106229761523727,0.19570668757536974,0.21389866169790833,0.29938840087398033,0.0
S13,5.28,3.777,4.415,6.958,4.913,4.045,5.192,4.173,4.515,4.892,4.617,3.514,4.441,4.645,3.47,3.352,3.357,4.176,3.719,3.947,4.101,0.25999633773735986,0.18598601659735,0.21740224074061432,0.34262396173798293,0.24192462259538805,0.1991828004067463,0.25566306544173717,0.205485741927652,0.22232641380382187,0.24089054625211445,0.22734907032829363,0.17303544144111407,0.21868252573704827,0.22872783878599173,0.17086880529330278,0.1650582810787178,0.16530448973187822,0.20563346711954825,0.18312999622068962,0.1943571108048029,0.20194033732214253,,,0.0
