extreme_variable,tail,removed_n,removed_station_ids,n_remaining,mae_raw,mae_corrected,delta_mae,relative_improvement
chlorophyll,low,1,S15,28,7.509384572924425,9.986841080199145,-2.47745650727472,-0.32991471980371745
chlorophyll,low,2,S15;S30,27,7.729979242375947,8.661538213437877,-0.9315589710619303,-0.1205124802865058
chlorophyll,low,3,S15;S24;S30,26,8.096130967001866,7.361642354314062,0.7344886126878034,0.09072094012330398
chlorophyll,high,1,S19,28,6.109536898565751,6.869903844376267,-0.7603669458105164,-0.1244557416436943
chlorophyll,high,2,S03;S19,27,10.105452033106092,8.489693838909195,1.6157581941968964,0.15988974950388876
chlorophyll,high,3,S03;S19;S22,26,3.9977816097527685,4.494361628933086,-0.49658001918031713,-0.12421389351756679
salinity,low,1,S14,28,8.036463911678975,8.40834805009381,-0.3718841384148348,-0.046274598194162846
salinity,low,2,S14;S20,27,8.80224513456271,9.116619154979727,-0.31437402041701645,-0.03571520851908589
salinity,low,3,S14;S19;S20,26,8.014810556241189,8.862308521946682,-0.8474979657054931,-0.10574148443789984
salinity,high,1,S02,28,8.711194082801786,8.976854709656228,-0.2656606268544426,-0.030496465160720885
salinity,high,2,S02;S03,27,5.6738285137175755,9.168199184976734,-3.4943706712591585,-0.6158752706062305
salinity,high,3,S02;S03;S05,26,5.612668921506037,9.322411076616214,-3.7097421551101775,-0.6609586645838981
turbidity,low,1,S04,28,6.738095178242124,6.62161874793303,0.11647643030909371,0.017286254828398077
turbidity,low,2,S04;S12,27,7.433767155864034,7.0907887487662755,0.3429784070977586,0.04613790019333662
turbidity,low,3,S04;S12;S16,26,7.703084791443958,8.088021693927116,-0.38493690248315815,-0.04997178570729467
turbidity,high,1,S21,28,9.851576741802123,9.246925713914683,0.6046510278874404,0.06137606636324422
turbidity,high,2,S06;S21,27,10.271992177372582,5.735682442912679,4.536309734459903,0.44161927463813755
turbidity,high,3,S06;S20;S21,26,6.396312603815252,7.062917200483465,-0.666604596668213,-0.10421701345093716
pH,low,1,S28,28,7.348027429392049,9.8150668210356,-2.467039391643551,-0.3357417232515238
pH,low,2,S19;S28,27,6.33497381216181,6.768292894458564,-0.4333190822967534,-0.06840108501551694
pH,low,3,S18;S19;S28,26,6.008521367290383,6.770906798009547,-0.7623854307191644,-0.1268840342100625
pH,high,1,S01,28,8.796404449332202,8.280154861598946,0.516249587733256,0.05868870522119389
pH,high,2,S01;S25,27,8.598679004779182,8.928532028818687,-0.32985302403950456,-0.03836089518589668
pH,high,3,S01;S15;S25,26,8.57363789833674,8.325659765108766,0.24797813322797424,0.028923327083370438
